Probability_0,Probability_1,Probability_2
1.0038286925269376e-12,0.9996188795514461,0.00038112044754993037
0.9995152849389434,1.8508904711214643e-15,0.000484715061054821
0.0007504089302649036,2.7222168144644287e-05,0.9992223689015903
0.4026779409114154,1.864742053432319e-08,0.5973220404411641
0.0003275759461828027,2.1545987079079467e-07,0.9996722085939463
5.224481671146796e-13,0.9967914453521696,0.003208554647308153
3.279398985306295e-10,0.9924648187025974,0.007535180969462857
6.275983283533109e-12,0.9986447707281855,0.0013552292655384815
4.308684308012904e-08,0.19406424343736794,0.805935713475789
5.383455043899439e-16,0.9999805876218822,1.941237811726474e-05
0.00042958656950017833,0.0028337962209733676,0.9967366172095263
0.9970056808397123,1.8437608793590127e-13,0.0029943191601033365
0.023990405304433957,1.4978733352536534e-08,0.9760095797168327
3.603038840499377e-13,0.9983557200849693,0.0016442799146704952
0.9999999994097455,4.629399667302929e-29,5.902544274347636e-10
0.10101913783205738,2.115401909889059e-07,0.8989806506277517
0.9999999518118617,1.691654816947067e-25,4.8188138245755306e-08
0.0007570140857198544,1.4453215616367622e-05,0.9992285326986639
7.666276265451899e-07,0.006736684126314941,0.9932625492460586
8.926484736612024e-06,2.447574864910873e-05,0.9999665977666142
1.6487133963517987e-16,0.9999944865450701,5.513454929808341e-06
0.0003932564396386778,4.029902501391919e-05,0.9995664445353474
0.00032164890575798403,4.716716524084065e-05,0.9996311839290013
0.9999999998181883,7.168237293999961e-30,1.8181169868295214e-10
0.8305969788419026,5.659401799009786e-10,0.16940302059215723
0.9999694699852405,9.382102704473343e-18,3.053001475946885e-05
4.2343995075344195e-22,0.9999999987473267,1.2526733998171009e-09
0.00010180997055161439,1.2032387678823057e-05,0.9998861576417695
0.005384250320441187,2.429721121060756e-06,0.9946133199584377
0.9999993968295097,3.503869964582351e-23,6.031704902963675e-07
0.9999829356464333,5.782788129645845e-19,1.7064353566764094e-05
4.959366699279864e-05,8.21981939359978e-06,0.9999421865136136
3.111510148010756e-16,0.9999794373221893,2.05626778104717e-05
0.9999998635425926,1.955861218060598e-23,1.364574074633987e-07
0.9999928894837089,1.8930571095776236e-21,7.110516291104713e-06
0.9999997280012913,4.706030290393192e-22,2.7199870853265055e-07
3.0675842338621846e-15,0.9999598068867666,4.019311323020618e-05
0.0011260482679788467,8.664913987763624e-07,0.9988730852406222
2.044656679756403e-05,3.918273102983386e-06,0.9999756351600996
0.999999999947184,6.044718760792561e-31,5.281608319326623e-11
0.0010210670514328153,4.5944576253047825e-06,0.9989743384909417
3.6793601483425894e-07,0.014309058296789896,0.9856905737671953
4.2882219625395594e-23,0.9999999987440857,1.2559143135530778e-09
1.1213799914281296e-25,0.999999999982492,1.7508050077072574e-11
2.0283469225242034e-07,0.2504930941532463,0.7495067030120616
3.5793295348810616e-06,0.008782612579426063,0.9912138080910391
0.13286540996874527,2.0888818418015882e-07,0.8671343811430706
0.9996375995577491,3.488701963209512e-17,0.0003624004422509167
0.2742343885769913,1.2020042389396778e-08,0.7257655994029663
0.8219331891168625,3.669931018940116e-11,0.1780668108464381
2.0613628744102763e-15,0.999971954873064,2.8045126933955158e-05
0.001285260239651762,1.1451209549181878e-06,0.9987135946393934
1.8521978254364373e-05,0.03833096217158349,0.9616505158501621
4.844626217245599e-14,0.9995908083567112,0.0004091916432403353
8.302291496559433e-05,0.00013072238164032397,0.9997862547033941
4.80663900465437e-21,0.999999988483541,1.151645903101607e-08
0.9999713152654561,4.7688373505677626e-18,2.868473454389386e-05
0.02298032028358391,1.0006804646044826e-07,0.9770195796483696
3.146876789073706e-05,5.137182615574404e-06,0.9999633940494937
3.5164758293523617e-19,0.9999999414067732,5.859322677594692e-08
0.9999999776309744,9.759396154897028e-26,2.236902576916709e-08
1.3535107609009028e-21,0.9999999995622872,4.3771266582912445e-10
2.2675111992133671e-07,0.4001579030950107,0.5998418701538695
0.9992564909503675,1.5799057576703406e-16,0.0007435090496322483
0.002106787117808821,2.381877377233178e-06,0.9978908310048139
0.9999999878474716,7.120805670604326e-25,1.2152528490808654e-08
0.9999955694553497,3.84197173399525e-21,4.430544650262823e-06
1.838515946114094e-05,0.0005364046038508686,0.999445210236688
2.442041583614432e-15,0.9999934076877258,6.592312271773429e-06
3.4043166259605144e-20,0.9999999183219417,8.167805840083882e-08
8.741950660808705e-08,0.21630498638930049,0.7836949261911929
0.00043436784372621293,7.001508853277919e-07,0.9995649320053884
1.773433136433748e-15,0.9999853566997545,1.4643300243591645e-05
0.9999999620828476,1.1171335368648815e-25,3.791715242480787e-08
1.0851171793146422e-07,0.028532753493313856,0.9714671379949682
0.0001253101011451525,0.002162756039546344,0.9977119338593086
1.10091937272997e-15,0.9999937941608613,6.2058391375907055e-06
0.9999724145060481,7.228563083035686e-20,2.7585493952017768e-05
0.00010753102708848224,0.0006936061898288807,0.9991988627830827
1.4150719142730154e-08,0.9103946916081923,0.08960529424108869
0.9998722240231362,2.230968849441562e-17,0.00012777597686378965
0.9989272097243097,1.3410273680467924e-13,0.0010727902755561668
9.226058378063259e-13,0.999596745676063,0.0004032543230143318
0.0013609588751807944,3.767945246199491e-07,0.9986386643302947
5.1257395845826286e-05,0.0008200240052209936,0.9991287185989333
1.9928693821864164e-10,0.990023942904913,0.009976056895800086
0.9350617575231859,2.2349385355073714e-11,0.06493824245446463
0.9999740073177903,1.6112638969577948e-18,2.599268220979253e-05
0.023380131737642782,2.3393507078749444e-06,0.9766175289116494
1.1345771503470045e-12,0.9980635227346442,0.0019364772642211116
0.8783801788289384,3.06880451098031e-11,0.1216198211403736
1.5383209345417069e-06,0.28151782581693063,0.7184806358621347
0.0024377075882097967,3.503678579995426e-07,0.9975619420439322
2.939962201115571e-13,0.9994370371150122,0.0005629628846937076
0.980703613077301,5.444919722204359e-13,0.01929638692215456
0.00016672143674342175,4.124974208218997e-06,0.9998291535890483
0.0001316553487202991,5.793329267673829e-07,0.9998677653183529
0.9999999853630077,2.837218331456329e-26,1.463699238364154e-08
0.9999999995375948,8.473147387165568e-30,4.624051738941225e-10
0.9999999890415009,2.6232735450861756e-27,1.0958499046403909e-08
3.2971176244719616e-15,0.9999896801782276,1.0319821769098708e-05
5.0794095828062274e-14,0.9997104767482183,0.00028952325173085136
0.9987714238568183,1.7609493039970175e-14,0.00122857614316415
3.2734719710960698e-06,0.09592438764913674,0.904072338878892
0.9999968574015595,1.9487676714261382e-19,3.142598440408215e-06
0.0004911490798751621,1.5754124281712443e-05,0.9994930967958431
0.9999999253077332,7.536159457185479e-26,7.469226669226684e-08
0.9911281271937831,1.4401563282589024e-13,0.00887187280607308
0.9972576397549608,9.21032394732661e-16,0.0027423602450383573
4.464566932865336e-05,0.0006661771719914313,0.9992891771586799
4.909892133827437e-16,0.9999971990481126,2.8009518870441715e-06
6.663679383515751e-15,0.9999625948624064,3.740513758692341e-05
0.0015714009025765796,3.058872638096688e-06,0.9984255402247854
0.7320736029655979,8.35262511417329e-11,0.267926396950876
4.5292138459192556e-05,0.00014605421555622059,0.9998086536459846
1.0100071989963956e-05,0.0002649991956437923,0.9997249007323663
0.0017198607329145996,4.139119051089747e-07,0.9982797253551803
0.007697748887846461,9.658928433564456e-08,0.9923021545228692
9.377946570322552e-14,0.9999030491445392,9.69508553671149e-05
